idade,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau
22.03013698630137,F,N,Y,1,Working,Secondary / secondary special,Married,With parents,3.887671232876712,1,0,1,1,3.0,False
22.07123287671233,F,N,Y,0,Commercial associate,Incomplete higher,Married,House / apartment,1.1863013698630136,1,0,0,0,2.0,False
22.221917808219175,M,N,Y,0,Commercial associate,Higher education,Single / not married,House / apartment,0.7863013698630137,1,0,0,0,1.0,False
22.416438356164385,M,N,N,0,Working,Secondary / secondary special,Single / not married,Co-op apartment,3.608219178082192,1,1,0,0,1.0,False
22.56986301369863,F,N,Y,0,Working,Higher education,Civil marriage,With parents,1.8465753424657532,1,0,0,0,2.0,False
22.56986301369863,F,N,Y,0,Working,Higher education,Civil marriage,With parents,1.8465753424657532,1,0,0,0,2.0,False
22.66849315068493,M,N,N,1,Working,Secondary / secondary special,Separated,House / apartment,2.032876712328767,1,1,1,0,2.0,False
22.86849315068493,F,N,Y,0,Working,Incomplete higher,Single / not married,Rented apartment,4.3780821917808215,1,0,0,0,1.0,False
22.86849315068493,F,N,Y,0,Working,Incomplete higher,Single / not married,Rented apartment,4.3780821917808215,1,0,0,0,1.0,False
22.86849315068493,F,N,Y,0,Working,Incomplete higher,Single / not married,Rented apartment,4.3780821917808215,1,0,0,0,1.0,False
22.88493150684932,M,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,2.9616438356164383,1,1,0,1,2.0,False
23.0027397260274,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,4.134246575342465,1,1,1,0,1.0,False
23.0027397260274,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,4.134246575342465,1,1,1,0,1.0,False
23.0027397260274,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,4.134246575342465,1,1,1,0,1.0,False
23.12876712328767,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1.1232876712328768,1,0,0,0,1.0,False
23.12876712328767,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1.1232876712328768,1,0,0,0,1.0,False
23.194520547945206,M,Y,N,0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,3.3863013698630136,1,0,0,0,1.0,False
23.194520547945206,M,Y,N,0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,3.3863013698630136,1,0,0,0,1.0,False
23.194520547945206,M,Y,N,0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,3.3863013698630136,1,0,0,0,1.0,False
23.23835616438356,F,N,Y,0,Working,Incomplete higher,Single / not married,House / apartment,4.112328767123287,1,1,0,1,1.0,False
23.254794520547943,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,5.027397260273973,1,0,1,0,2.0,False
23.257534246575343,M,N,N,0,Commercial associate,Secondary / secondary special,Single / not married,With parents,2.5232876712328767,1,1,0,0,1.0,False
23.326027397260276,F,Y,N,0,Working,Higher education,Single / not married,House / apartment,0.7671232876712328,1,0,0,0,1.0,False
23.43013698630137,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,4.279452054794521,1,0,0,0,2.0,False
23.43013698630137,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,4.279452054794521,1,0,0,0,2.0,False
23.45205479452055,M,Y,N,0,Working,Incomplete higher,Single / not married,House / apartment,0.8657534246575342,1,1,0,0,1.0,False
23.45205479452055,M,Y,N,0,Working,Incomplete higher,Single / not married,House / apartment,0.8657534246575342,1,1,0,0,1.0,False
23.45205479452055,M,Y,N,0,Working,Incomplete higher,Single / not married,House / apartment,0.8657534246575342,1,1,0,0,1.0,False
23.46575342465753,M,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,1.158904109589041,1,0,0,1,3.0,False
23.635616438356163,F,Y,Y,0,State servant,Secondary / secondary special,Single / not married,House / apartment,4.210958904109589,1,0,0,0,1.0,False
23.635616438356163,F,Y,Y,0,State servant,Secondary / secondary special,Single / not married,House / apartment,4.210958904109589,1,0,0,0,1.0,False
23.635616438356163,F,Y,Y,0,State servant,Secondary / secondary special,Single / not married,House / apartment,4.210958904109589,1,0,0,0,1.0,False
23.72328767123288,M,N,N,0,State servant,Higher education,Single / not married,With parents,0.5123287671232877,1,1,1,0,1.0,False
23.775342465753425,F,N,N,0,Working,Secondary / secondary special,Single / not married,Municipal apartment,0.8712328767123287,1,0,0,0,1.0,False
